"","AA4","is_female","DG3","DG4","DG5_4","DG6","DG8a","DG9a","DL0","DL1","DL14","DL15","DL24","MT1","MT1A","MT2","MT10","IFI14_1","IFI14_2","IFI15_2","IFI16_1","FL4","FL9A","FL10","FB20","LN1A","LN2_1","GN2","GN3","GN4","GN5"
"87","33","1","3","5","2","2","2","1","2","1","4","3","3","1","2","1","2","4","4","3","3","99","11","1","2","3","2","3","3","3","3"
"88","23","1","3","7","2","2","2","1","2","7","4","2","2","2","2","1","1","3","3","3","1","2","1","2","1","2","1","3","3","3","3"
"89","34","0","3","7","2","3","4","2","1","1","6","1","4","2","1","1","1","1","1","1","1","1","4","2","6","1","4","1","1","1","1"
"90","35","1","6","1","2","3","4","2","2","7","7","1","1","0","4","2","2","5","6","1","3","8","5","7","3","2","2","3","3","3","3"
"91","21","1","3","5","2","2","2","2","2","7","3","1","5","1","2","1","1","2","2","1","1","2","7","9","1","1","1","2","2","2","2"
"92","35","0","3","6","2","3","3","3","1","2","4","3","4","2","1","2","2","3","3","2","2","2","2","2","1","2","3","3","3","3","3"
"93","44","0","1","8","2","3","4","2","2","1","4","4","4","2","99","1","2","2","99","99","7","8","1","1","1","1","4","4","4","4","4"
"94","23","1","3","1","2","2","3","1","2","7","6","1","1","1","2","1","2","1","1","1","1","2","3","11","6","4","1","3","3","2","99"
"95","25","1","7","7","2","3","4","1","2","8","7","1","2","1","5","2","2","6","99","99","1","8","8","1","6","1","4","4","4","4","4"
"96","16","0","3","6","2","3","7","3","1","5","13","1","4","2","1","1","1","2","2","1","1","99","10","1","1","1","4","1","1","1","1"
"97","33","0","3","4","2","1","3","2","1","96","7","1","2","1","1","2","1","4","3","2","2","8","1","11","6","3","3","3","3","3","3"
"98","33","1","3","1","2","2","2","1","2","7","4","1","3","1","2","2","2","99","99","99","2","99","11","99","1","4","1","99","2","2","2"
"99","35","0","3","6","2","1","2","99","1","2","2","1","1","99","1","2","1","4","4","2","3","1","3","5","14","1","3","1","1","1","1"
"100","33","0","1","6","2","3","2","2","2","1","5","4","2","0","99","2","2","4","4","3","2","8","6","99","3","1","4","4","4","4","4"
"101","34","1","3","4","2","2","4","2","2","4","4","2","5","4","2","2","2","3","4","4","3","2","3","6","2","1","5","2","2","2","2"
"102","15","1","3","5","2","2","3","2","2","7","3","3","3","2","2","1","1","2","2","1","1","2","9","2","1","2","4","2","2","2","2"
"103","15","0","1","1","2","99","2","2","2","1","2","1","5","1","99","1","2","99","99","99","99","99","11","99","15","4","1","1","99","99","99"
"104","16","0","1","1","2","1","1","1","1","5","1","4","3","0","1","2","2","3","3","2","2","1","1","99","1","3","1","3","3","3","3"
"105","44","0","1","7","2","3","2","1","2","8","4","2","3","3","3","1","2","2","2","1","7","8","6","1","14","2","4","4","4","4","4"
"106","35","0","3","1","2","1","2","99","1","4","2","1","1","0","99","2","2","6","6","3","2","99","5","99","15","1","1","99","99","99","99"
"107","15","1","3","7","2","2","6","2","2","7","8","3","3","4","2","2","2","3","3","1","7","99","1","9","12","3","3","3","3","3","3"
"108","34","0","3","5","1","1","5","2","2","9","5","2","2","1","1","1","1","3","3","99","3","1","1","11","15","1","2","3","3","3","3"
"109","31","1","3","5","2","1","2","2","2","7","2","1","3","0","2","2","2","3","3","2","2","1","1","7","1","4","1","1","1","1","1"
"110","16","1","1","11","2","3","4","1","2","1","6","1","1","2","3","1","1","3","3","2","2","1","8","9","15","1","4","1","99","3","4"
"111","41","0","3","6","2","1","2","2","1","5","2","2","5","1","1","1","1","99","2","1","2","1","2","5","1","1","4","3","3","3","3"
"112","31","0","3","4","2","1","3","3","1","1","4","1","3","1","1","2","2","3","2","2","1","99","1","99","6","1","1","3","3","3","3"
"113","24","0","1","6","2","3","2","1","2","6","2","4","3","1","3","2","2","1","1","1","1","8","2","6","14","1","2","4","4","4","4"
"114","34","1","3","6","2","4","3","1","2","7","3","2","5","3","4","1","1","3","3","99","3","8","1","11","10","1","1","1","3","3","3"
"115","42","0","1","5","2","7","1","1","1","1","1","2","4","1","1","2","1","2","2","2","1","1","1","99","11","3","1","1","1","1","1"
"116","34","0","3","6","2","1","2","2","1","1","2","2","2","2","1","1","1","2","99","99","1","1","11","99","14","2","4","1","1","1","1"
"117","15","0","3","1","2","1","4","1","2","1","4","1","9","1","4","2","2","99","99","99","2","99","11","99","15","2","1","99","1","1","1"
"118","31","0","3","3","2","2","2","1","2","4","3","2","3","1","1","1","1","2","2","2","2","2","2","3","14","2","3","2","2","2","2"
"119","41","0","1","7","2","3","4","1","2","8","4","1","3","2","3","1","1","4","4","2","7","8","6","1","1","1","4","4","3","1","1"
"120","16","1","3","3","2","2","2","2","2","7","4","1","2","1","2","2","2","2","2","2","1","8","1","4","1","2","1","3","3","3","3"
"121","42","1","3","2","2","2","2","2","2","1","2","2","99","0","99","2","2","1","1","1","1","99","11","99","3","4","1","99","99","99","99"
"122","25","0","7","10","2","3","3","1","2","8","3","3","3","1","3","1","2","3","3","3","7","1","1","11","15","1","5","4","4","4","4"
"123","23","1","3","1","2","2","3","1","2","7","4","2","5","1","2","1","1","3","3","2","2","2","1","3","1","4","1","2","2","2","2"
"124","33","0","3","5","2","1","2","2","1","3","2","1","2","0","99","2","2","3","99","99","1","8","9","99","1","1","1","1","1","1","1"
"125","41","1","3","4","2","2","4","2","2","1","4","2","2","1","2","2","2","3","3","3","3","2","1","11","1","2","1","2","1","2","2"
"126","16","0","3","7","2","7","2","1","1","4","2","1","3","1","1","1","1","1","1","1","1","2","3","2","1","1","3","2","2","2","2"
"127","16","0","3","7","1","1","4","1","1","1","5","2","3","1","1","1","1","1","1","1","1","1","1","1","6","3","3","1","1","1","1"
"128","34","0","1","7","2","3","2","1","2","8","4","2","5","2","3","1","1","1","2","1","1","8","1","8","2","1","5","4","4","4","4"
"129","33","0","3","6","1","1","5","5","2","6","6","1","3","1","1","1","1","4","4","4","2","1","11","2","15","2","4","1","1","1","1"
"130","31","1","3","4","2","2","2","1","2","7","7","2","2","1","2","2","2","3","3","2","2","2","1","11","6","4","1","3","3","3","3"
"131","31","1","3","1","2","2","3","2","2","7","3","1","5","1","2","2","2","5","5","3","3","2","1","3","1","3","1","1","2","2","2"
"132","14","1","3","5","2","3","6","2","2","7","10","3","9","2","2","2","2","3","3","2","1","2","6","11","15","3","2","4","4","4","4"
"133","16","0","3","6","2","1","2","1","1","1","3","2","99","1","1","1","2","3","99","99","99","99","5","99","15","2","3","3","3","3","3"
"134","35","0","3","5","1","1","3","2","1","1","4","2","9","0","1","2","2","99","99","99","1","1","11","99","15","2","1","1","2","1","1"
"135","44","0","3","6","2","1","2","2","1","1","2","2","3","2","1","1","1","3","2","1","3","8","5","7","10","1","5","3","3","3","3"
"136","41","1","6","2","2","1","3","1","2","7","3","1","2","0","1","2","2","99","99","99","2","99","11","99","10","1","1","1","1","1","1"
"137","34","0","3","1","2","1","2","2","1","1","5","4","2","1","1","1","2","5","5","3","2","1","1","1","2","4","1","1","1","1","1"
"138","41","1","3","1","2","2","2","1","2","7","2","1","2","0","99","2","2","99","99","99","1","99","11","99","11","1","1","2","2","2","2"
"139","41","1","3","1","2","2","2","2","2","1","2","1","5","2","2","2","1","5","5","3","2","1","2","11","1","4","1","3","1","2","2"
"140","26","0","3","5","2","1","2","1","1","2","2","2","3","1","1","1","1","3","3","99","2","1","1","11","4","3","3","1","1","1","1"
"141","25","0","3","3","2","1","2","2","1","3","3","1","2","1","1","1","1","3","3","2","8","1","2","1","2","3","1","3","3","3","3"
"142","33","0","3","5","2","1","2","1","1","5","2","2","2","1","1","1","1","4","99","1","1","1","11","99","14","4","3","3","3","3","3"
"143","32","0","3","6","2","1","3","0","1","3","5","2","2","1","1","1","1","3","3","3","2","1","11","3","6","2","1","3","3","3","3"
"144","16","0","3","1","2","1","4","4","1","5","5","1","1","1","99","2","2","3","99","99","1","1","8","7","15","4","1","1","3","3","3"
"145","41","1","3","6","2","2","2","2","2","7","4","3","5","1","1","1","1","4","4","3","2","2","1","11","1","4","2","2","2","2","2"
"146","23","0","3","5","2","7","3","1","1","1","5","2","3","1","1","1","1","2","4","1","1","2","1","1","6","2","2","2","1","1","1"
"147","34","1","3","6","2","2","3","3","2","1","3","2","5","2","2","1","1","2","1","2","1","2","1","99","15","1","2","3","3","3","3"
"148","41","1","2","6","2","2","2","2","2","5","4","3","5","1","2","1","1","4","4","3","2","2","1","11","2","2","4","2","2","2","2"
"149","14","1","3","1","2","2","3","2","2","7","9","1","99","1","2","2","2","3","3","2","8","2","1","11","15","4","1","2","2","2","2"
"150","16","1","1","7","2","3","3","1","2","8","7","1","4","2","3","2","2","1","1","1","1","8","1","1","1","1","5","4","4","4","4"
"151","16","1","3","1","2","2","2","1","2","7","6","1","3","1","2","2","2","99","99","4","2","2","1","11","15","1","1","1","2","2","2"
"152","42","1","3","1","2","2","3","2","2","7","4","1","2","2","4","2","2","1","1","1","1","2","3","99","4","4","1","3","3","3","3"
"153","15","0","3","1","2","1","2","1","1","1","3","1","3","1","1","2","2","2","2","1","1","1","11","11","2","4","1","2","2","2","2"
"154","11","1","3","10","2","1","2","2","2","5","4","3","2","1","1","2","2","2","1","1","2","2","3","4","2","3","5","1","1","1","1"
"155","25","1","6","5","2","1","1","0","2","7","3","2","1","1","1","1","1","2","2","99","1","1","8","1","6","1","4","1","1","1","1"
"156","26","1","3","7","2","2","2","1","2","7","3","3","3","99","2","2","2","3","3","2","2","2","1","4","2","1","4","2","2","2","2"
"157","44","1","3","6","2","2","4","2","2","7","5","2","3","2","2","2","2","3","3","2","3","2","1","1","2","1","3","3","3","3","3"
"158","24","1","1","5","2","3","2","1","2","8","3","4","2","1","3","2","2","3","3","4","2","8","11","1","6","2","2","4","4","4","4"
"159","23","0","6","1","2","1","2","2","2","4","5","1","3","1","4","2","2","3","3","2","2","1","1","7","15","4","1","1","1","1","1"
"160","25","1","3","3","2","2","2","1","2","7","2","1","1","1","2","2","2","3","3","2","1","1","1","7","15","3","1","3","3","3","3"
"161","16","0","3","7","2","1","7","1","1","4","8","1","3","3","1","1","1","4","6","1","6","1","5","5","1","2","3","1","1","1","1"
"162","16","0","3","11","2","1","6","3","1","5","12","3","5","4","1","1","1","4","4","3","2","1","1","3","1","1","5","1","1","1","1"
"163","44","0","3","6","2","1","2","1","1","1","2","1","3","1","1","1","1","2","2","1","1","1","11","99","14","2","3","3","3","3","3"
"164","16","0","3","5","2","3","3","3","2","1","5","1","99","1","1","1","1","3","3","2","2","99","4","99","1","2","4","4","4","4","4"
"165","32","0","1","6","2","3","2","2","2","7","2","3","9","1","1","1","1","99","99","99","2","1","11","5","15","2","1","4","4","4","4"
"166","16","1","1","7","2","3","2","2","2","8","4","4","1","99","3","2","2","4","3","99","2","99","11","9","15","2","4","4","4","4","4"
"167","25","1","3","5","2","2","2","0","2","4","2","1","3","1","2","2","2","5","5","2","2","2","1","11","1","4","4","3","2","2","3"
"168","16","0","3","1","2","1","2","2","1","3","3","1","2","0","1","2","2","4","4","3","2","1","1","8","1","4","1","4","4","1","1"
"169","41","0","3","4","2","1","3","3","1","5","3","1","5","1","1","2","2","6","6","4","2","2","2","5","2","1","1","3","3","3","3"
"170","16","1","6","4","2","1","1","1","2","7","1","1","2","1","1","2","2","3","99","99","99","1","4","3","15","4","1","3","3","3","3"
"171","23","1","3","1","2","2","1","0","2","7","1","1","3","1","2","2","2","2","99","99","1","2","11","99","15","4","1","99","2","2","2"
"172","16","1","3","1","2","3","6","4","2","3","9","1","2","4","99","2","2","2","99","99","1","2","1","11","2","4","1","3","3","3","3"
"173","44","0","1","6","2","1","3","3","1","1","3","3","2","0","99","2","2","4","4","6","3","1","3","1","15","1","1","1","1","1","1"
"174","23","0","3","2","2","7","2","1","1","5","3","4","2","1","1","1","1","3","4","3","7","2","11","6","2","1","3","1","1","1","1"
"175","11","0","1","7","2","3","2","0","1","1","2","1","9","1","1","1","2","1","5","99","1","99","1","99","14","3","1","3","4","4","4"
"176","31","0","8","10","2","2","3","3","2","8","3","1","4","1","3","1","1","3","3","2","7","99","1","7","1","4","1","4","4","4","4"
"177","44","1","3","10","2","2","2","1","2","7","4","3","4","2","1","1","1","1","1","1","1","1","11","5","14","1","5","3","3","3","3"
"178","16","0","1","6","2","3","5","1","2","8","6","3","3","2","3","2","2","2","2","2","1","8","6","8","1","1","3","4","4","4","4"
"179","16","0","3","5","2","1","2","1","1","1","4","1","3","1","1","1","1","5","99","1","3","2","6","11","13","3","1","2","2","2","2"
"180","23","1","3","2","2","2","2","1","2","7","3","2","3","0","2","2","2","99","99","99","1","2","2","1","1","4","1","2","2","2","2"
"181","44","1","1","6","2","3","3","1","2","8","4","2","9","2","99","2","2","3","3","99","99","99","11","99","14","1","4","99","99","99","99"
"182","35","1","1","7","2","1","2","2","1","3","2","2","4","1","1","1","1","2","2","2","2","1","6","2","15","2","5","1","1","1","1"
"183","24","1","6","5","2","1","5","2","2","7","6","2","3","5","1","1","2","1","1","1","1","8","6","2","8","4","1","3","3","3","3"
"184","34","1","1","11","2","3","3","2","2","1","4","3","4","4","3","1","1","3","3","2","2","8","1","10","2","1","4","1","1","1","1"
"185","42","0","4","6","2","7","1","1","1","1","1","1","1","1","1","1","1","3","3","2","1","10","1","99","14","2","4","1","1","1","1"
"186","23","1","3","2","2","2","3","2","2","7","3","2","3","1","4","2","2","99","99","99","1","2","2","3","1","4","1","2","2","2","2"
"187","31","1","3","1","2","2","1","1","2","7","1","1","4","1","2","2","2","2","2","1","2","99","1","3","3","4","1","1","1","1","1"
"188","16","0","3","5","2","1","2","1","1","1","5","1","1","1","1","1","1","3","2","2","6","99","8","11","1","2","1","3","2","1","1"
"189","16","1","3","1","2","2","4","2","2","7","5","1","3","1","2","2","2","3","4","3","1","2","1","6","1","4","1","2","2","2","2"
"190","25","0","3","5","2","1","7","3","1","9","8","1","3","2","4","2","2","5","5","2","4","8","1","5","1","2","2","3","3","3","3"
"191","34","1","3","7","2","2","1","1","2","7","3","3","9","1","2","1","1","2","2","1","2","2","1","1","15","3","3","2","2","2","2"
"192","16","1","1","5","2","3","6","1","2","6","6","2","2","1","3","2","2","3","3","3","1","8","7","10","15","2","3","1","4","4","4"
"193","33","1","3","10","2","2","2","1","2","7","3","3","9","1","2","2","2","3","3","2","1","2","2","6","6","2","4","3","3","3","3"
"194","43","1","3","6","1","2","4","1","2","3","6","1","3","2","1","1","1","1","1","3","1","2","3","8","14","4","4","2","2","2","2"
"195","15","1","3","6","2","4","4","1","2","7","5","2","2","2","4","2","2","1","1","1","1","99","11","99","15","3","3","3","3","3","3"
"196","43","0","1","6","2","1","2","2","1","1","2","2","99","1","1","1","1","99","99","99","99","1","1","99","1","1","1","1","1","1","1"
"197","16","1","3","1","2","2","2","1","2","7","2","4","99","1","2","2","2","4","99","99","8","2","11","99","3","4","1","2","2","2","2"
"198","23","1","3","1","2","2","2","1","2","7","2","1","3","1","4","2","2","99","99","99","1","2","1","2","6","4","1","3","3","2","2"
"199","33","1","3","4","2","2","2","1","2","4","2","1","5","1","2","1","1","2","2","2","2","4","1","1","1","1","5","3","3","3","3"
"200","26","1","3","4","2","2","2","2","2","7","2","1","3","1","2","2","2","3","99","99","2","2","11","11","1","4","1","1","2","2","2"
"201","23","0","3","10","1","1","3","1","1","96","4","3","4","3","1","1","1","1","1","1","1","1","7","9","2","1","4","1","1","1","1"
"202","23","1","3","4","2","2","2","2","2","5","5","1","2","1","1","1","2","2","99","99","1","2","1","2","6","4","1","2","2","2","2"
"203","42","0","3","2","2","1","2","2","1","3","3","1","5","1","1","1","2","5","99","99","2","1","11","2","7","4","1","1","2","1","1"
"204","23","1","3","2","2","1","1","0","2","7","5","1","2","1","1","1","1","3","99","99","1","2","3","1","6","1","1","1","1","1","1"
"205","31","0","3","4","2","2","2","2","1","1","5","1","1","1","1","2","2","2","99","99","1","1","1","5","6","2","3","1","1","1","1"
"206","16","0","1","7","2","3","1","1","2","8","2","1","4","1","3","2","2","3","3","2","2","8","1","99","10","2","3","4","4","4","4"
"207","16","0","3","1","2","1","4","2","2","10","5","1","2","1","4","2","2","3","3","2","1","2","1","2","15","4","1","3","3","3","3"
